ori,ucr_agency_name,city_name,county_fips_code,state_code,state_postal_abbr
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0630100,CLARKSVILLE,Clarksville,125,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
TN0650100,WARTBURG,Wartburg,129,41,TN
